PEDIDO_ERP;CANAL_MARKETING
P10000123254;Google Ads
P10000123255;Busca orgânica
P10000123256;Google Ads
P10000123257;Google Ads
P10000123258;Google Ads
P10000123259;Google Ads
P10000123260;Facebook Ads
P10000123261;Google Ads
P10000123262;Google Ads
P10000123263;Google Ads
P10000123264;Google Ads
P10000123265;Google Ads
P10000123266;Busca orgânica
P10000123267;Busca orgânica
P10000123268;Email
P10000123269;Busca orgânica
P10000123270;Google Ads
P10000123271;Busca orgânica
P10000123272;Google Ads
P10000123273;Google Ads
P10000123274;Busca orgânica
P10000123275;Busca orgânica
P10000123276;Direto
P10000123277;Direto
P10000123278;Google Ads
P10000123279;Facebook Ads
P10000123280;Busca orgânica
P10000123281;Busca orgânica
P10000123282;Direto
P10000123283;Busca orgânica
P10000123284;Google Ads
P10000123285;Busca orgânica
P10000123286;Busca orgânica
P10000123287;Google Ads
P10000123288;Busca orgânica
P10000123289;Google Ads
P10000123290;Google Ads
P10000123291;Busca orgânica
P10000123292;Direto
P10000123293;Google Ads
P10000123294;Busca orgânica
P10000123295;Google Ads
P10000123296;Busca orgânica
P10000123297;Busca orgânica
P10000123298;Busca orgânica
P10000123299;Busca orgânica
P10000123300;Email
P10000123301;Busca orgânica
P10000123302;Outros
P10000123303;
P10000123304;Busca orgânica
P10000123305;Direto
P10000123306;Busca orgânica
P10000123307;Busca orgânica
P10000123308;Busca orgânica
P10000123309;Busca orgânica
P10000123310;Email
P10000123311;Busca orgânica
P10000123312;Email
P10000123313;Busca orgânica
P10000123314;Outros
P10000123315;Busca orgânica
P10000123316;Direto
P10000123317;Google Ads
P10000123318;Google Ads
P10000123319;Google Ads
P10000123320;Google Ads
P10000123321;Direto
P10000123322;Busca orgânica
P10000123323;Busca orgânica
P10000123324;Outros
P10000123325;Busca orgânica
P10000123326;Busca orgânica
P10000123327;Busca orgânica
P10000123328;Busca orgânica
P10000123329;Google Ads
P10000123330;Referência
P10000123331;Google Ads
P10000123332;Google Ads
P10000123333;Google Ads
P10000123334;Google Ads
P10000123335;Google Ads
P10000123336;Busca orgânica
P10000123337;Google Ads
P10000123338;Google Ads
P10000123339;Google Ads
P10000123340;
P10000123341;Google Ads
P10000123342;Google Ads
P10000123343;Google Ads
P10000123344;
P10000123345;Google Ads
P10000123346;Google Ads
P10000123347;Google Ads
P10000123348;Google Ads
P10000123349;Google Ads
P10000123350;Google Ads
P10000123351;Google Ads
P10000123352;Busca orgânica
P10000123353;Google Ads
P10000123354;Google Ads
P10000123355;Google Ads
P10000123356;Google Ads
P10000123357;Outros
P10000123358;Google Ads
P10000123359;Google Ads
P10000123360;Google Ads
P10000123361;Google Ads
P10000123362;Google Ads
P10000123363;Busca orgânica
P10000123364;Google Ads
P10000123365;Busca orgânica
P10000123366;Busca orgânica
P10000123367;Google Ads
P10000123368;Busca orgânica
P10000123369;Busca orgânica
P10000123370;Busca orgânica
P10000123371;Outros
P10000123372;Busca orgânica
P10000123373;Direto
P10000123374;Google Ads
P10000123375;Google Ads
P10000123376;Google Ads
P10000123377;Busca orgânica
P10000123378;Busca orgânica
P10000123379;Busca orgânica
P10000123380;Email
P10000123381;Outros
P10000123382;Google Ads
P10000123383;Direto
P10000123384;
P10000123385;Email
P10000123386;Google Ads
P10000123387;Google Ads
P10000123388;Busca orgânica
P10000123389;Google Ads
P10000123390;Google Ads
P10000123391;Email
P10000123392;
P10000123393;Referência
P10000123394;Busca orgânica
P10000123395;Google Ads
P10000123396;Google Ads
P10000123397;Referência
P10000123398;Busca orgânica
P10000123399;
P10000123400;Google Ads
P10000123401;Google Ads
P10000123402;Direto
P10000123403;Direto
P10000123404;Busca orgânica
P10000123405;Busca orgânica
P10000123406;Busca orgânica
P10000123407;Google Ads
P10000123408;Google Ads
P10000123409;Busca orgânica
P10000123410;Email
P10000123411;Email
P10000123412;Referência
P10000123413;Busca orgânica
P10000123414;Outros
P10000123415;Busca orgânica
P10000123416;Busca orgânica
P10000123417;Busca orgânica
P10000123418;Busca orgânica
P10000123419;Google Ads
P10000123420;Facebook Ads
P10000123421;Direto
P10000123422;Google Ads
P10000123423;Busca orgânica
P10000123424;Outros
P10000123425;Google Ads
P10000123426;Referência
P10000123427;Google Ads
P10000123428;Busca orgânica
P10000123429;Direto
P10000123430;Busca orgânica
P10000123431;Google Ads
P10000123432;Google Ads
P10000123433;Google Ads
P10000123434;Referência
P10000123435;Google Ads
P10000123436;Google Ads
P10000123437;Google Ads
P10000123438;Facebook Ads
P10000123439;
P10000123440;Busca orgânica
P10000123441;Google Ads
P10000123442;Facebook Ads
P10000123443;Google Ads
P10000123444;Google Ads
P10000123445;Google Ads
P10000123446;Google Ads
P10000123447;Google Ads
P10000123448;Email
P10000123449;Google Ads
P10000123450;Email
P10000123451;Google Ads
P10000123452;Busca orgânica
P10000123453;Google Ads
P10000123454;Email
P10000123455;Email
P10000123456;Google Ads
P10000123457;Busca orgânica
P10000123458;Facebook Ads
P10000123459;Google Ads
P10000123460;Busca orgânica
P10000123461;Google Ads
P10000123462;Busca orgânica
P10000123463;Email
P10000123464;Referência
P10000123465;Google Ads
P10000123466;Outros
P10000123467;Outros
P10000123468;Busca orgânica
P10000123469;Busca orgânica
P10000123470;Email
P10000123471;Google Ads
P10000123472;Busca orgânica
P10000123473;Google Ads
P10000123474;Busca orgânica
P10000123475;Email
P10000123476;Direto
P10000123477;Outros
P10000123478;Direto
P10000123479;Outros
P10000123480;Google Ads
P10000123481;Google Ads
P10000123482;Email
P10000123483;Direto
P10000123484;Email
P10000123485;Google Ads
P10000123486;Direto
P10000123487;Direto
P10000123488;Email
P10000123489;
P10000123490;Google Ads
P10000123491;Busca orgânica
P10000123492;Busca orgânica
P10000123493;Email
P10000123494;Direto
P10000123495;Outros
P10000123496;Google Ads
P10000123497;Google Ads
P10000123498;Busca orgânica
P10000123499;Facebook Ads
P10000123500;Facebook Ads
P10000123501;Busca orgânica
P10000123502;Referência
P10000123503;Facebook Ads
P10000123504;
P10000123505;Referência
P10000123506;Google Ads
P10000123507;Facebook Ads
P10000123508;Google Ads
P10000123509;Facebook Ads
P10000123510;Busca orgânica
P10000123511;Busca orgânica
P10000123512;Google Ads
P10000123513;Google Ads
P10000123514;Google Ads
P10000123515;Facebook Ads
P10000123516;Direto
P10000123517;Direto
P10000123518;Google Ads
P10000123519;Busca orgânica
P10000123520;Busca orgânica
P10000123521;Facebook Ads
P10000123522;Busca orgânica
P10000123523;Busca orgânica
P10000123524;Busca orgânica
P10000123525;Busca orgânica
P10000123526;Busca orgânica
P10000123527;Google Ads
P10000123528;Busca orgânica
P10000123529;Busca orgânica
P10000123530;Google Ads
P10000123531;Google Ads
P10000123532;Direto
P10000123533;Google Ads
P10000123534;Google Ads
P10000123535;Facebook Ads
P10000123536;Facebook Ads
P10000123537;
P10000123538;
P10000123539;Google Ads
P10000123540;Google Ads
P10000123541;Google Ads
P10000123542;Email
P10000123543;Busca orgânica
P10000123544;Busca orgânica
P10000123545;Facebook Ads
P10000123546;Direto
P10000123547;Google Ads
P10000123548;Facebook Ads
P10000123549;Email
P10000123550;Busca orgânica
P10000123551;Google Ads
P10000123552;Google Ads
P10000123553;Google Ads
P10000123554;Google Ads
P10000123555;Direto
P10000123556;Google Ads
P10000123557;Busca orgânica
P10000123558;Google Ads
P10000123559;Facebook Ads
P10000123560;Google Ads
P10000123561;Google Ads
P10000123562;Referência
P10000123563;Google Ads
P10000123564;Busca orgânica
P10000123565;Google Ads
P10000123566;Google Ads
P10000123567;Google Ads
P10000123568;Facebook Ads
P10000123569;Direto
P10000123570;Busca orgânica
P10000123571;Google Ads
P10000123572;Direto
P10000123573;Google Ads
P10000123574;Google Ads
P10000123575;Google Ads
P10000123576;
P10000123577;Google Ads
P10000123578;Google Ads
P10000123579;Google Ads
P10000123580;Google Ads
P10000123581;Facebook Ads
P10000123582;Direto
P10000123583;Google Ads
P10000123584;Google Ads
P10000123585;Busca orgânica
P10000123586;Google Ads
P10000123587;Google Ads
P10000123588;Google Ads
P10000123589;Google Ads
P10000123590;Google Ads
P10000123591;Google Ads
P10000123592;Email
P10000123593;Busca orgânica
P10000123594;Google Ads
P10000123595;Google Ads
P10000123596;Busca orgânica
P10000123597;
P10000123598;Busca orgânica
P10000123599;Google Ads
P10000123600;Google Ads
P10000123601;Facebook Ads
P10000123602;Busca orgânica
P10000123603;Busca orgânica
P10000123604;Outros
P10000123605;Google Ads
P10000123606;Google Ads
P10000123607;Busca orgânica
P10000123608;Google Ads
P10000123609;Google Ads
P10000123610;Google Ads
P10000123611;Google Ads
P10000123612;Google Ads
P10000123613;Outros
P10000123614;Google Ads
P10000123615;Busca orgânica
P10000123616;Referência
P10000123617;Busca orgânica
P10000123618;Email
P10000123619;Email
P10000123620;Email
P10000123621;Google Ads
P10000123622;Email
P10000123623;Email
P10000123624;Busca orgânica
P10000123625;Google Ads
P10000123626;Google Ads
P10000123627;Google Ads
P10000123628;Busca orgânica
P10000123629;Busca orgânica
P10000123630;Email
P10000123631;Direto
P10000123632;Google Ads
P10000123633;Busca orgânica
P10000123634;Google Ads
P10000123635;Busca orgânica
P10000123636;Busca orgânica
P10000123637;Facebook Ads
P10000123638;Google Ads
P10000123639;Google Ads
P10000123640;Email
P10000123641;Google Ads
P10000123642;Referência
P10000123643;Busca orgânica
P10000123644;Busca orgânica
P10000123645;Email
P10000123646;Email
P10000123647;Google Ads
P10000123648;Google Ads
P10000123649;Google Ads
P10000123650;Facebook Ads
P10000123651;Google Ads
P10000123652;Google Ads
P10000123653;Google Ads
P10000123654;Google Ads
P10000123655;Google Ads
P10000123656;Busca orgânica
P10000123657;Google Ads
P10000123658;Busca orgânica
P10000123659;Direto
P10000123660;Email
P10000123661;Busca orgânica
P10000123662;Google Ads
P10000123663;Email
P10000123664;Direto
P10000123665;Email
P10000123666;Direto
P10000123667;Outros
P10000123668;Busca orgânica
P10000123669;Busca orgânica
P10000123670;Busca orgânica
P10000123671;Direto
P10000123672;Referência
P10000123673;Google Ads
P10000123674;Referência
P10000123675;Facebook Ads
P10000123676;Google Ads
P10000123677;
P10000123678;Google Ads
P10000123679;Outros
P10000123680;Google Ads
P10000123681;Busca orgânica
P10000123682;Google Ads
P10000123683;Google Ads
P10000123684;Google Ads
P10000123685;Outros
P10000123686;
P10000123687;Google Ads
P10000123688;Google Ads
P10000123689;Busca orgânica
P10000123690;Google Ads
P10000123691;Google Ads
P10000123692;Direto
P10000123693;
P10000123694;Google Ads
P10000123695;Email
P10000123696;Google Ads
P10000123697;Busca orgânica
P10000123698;Google Ads
P10000123699;Outros
P10000123700;Google Ads
P10000123701;Google Ads
P10000123702;Google Ads
P10000123703;Google Ads
P10000123704;
P10000123705;Google Ads
P10000123706;Referência
P10000123707;Google Ads
P10000123708;Google Ads
P10000123709;Google Ads
P10000123710;Google Ads
P10000123711;Busca orgânica
P10000123712;Busca orgânica
P10000123713;
P10000123714;Busca orgânica
P10000123715;Direto
P10000123716;Direto
P10000123717;Busca orgânica
P10000123718;Google Ads
P10000123719;Google Ads
P10000123720;Direto
P10000123721;Busca orgânica
P10000123722;Google Ads
P10000123723;Busca orgânica
P10000123724;Google Ads
P10000123725;Google Ads
P10000123726;Busca orgânica
P10000123727;Referência
P10000123728;Google Ads
P10000123729;Email
P10000123730;Busca orgânica
P10000123731;Google Ads
P10000123732;Google Ads
P10000123733;Google Ads
P10000123734;Email
P10000123735;Busca orgânica
P10000123736;Busca orgânica
P10000123737;Facebook Ads
P10000123738;Busca orgânica
P10000123739;Outros
P10000123740;
P10000123741;Direto
P10000123742;Busca orgânica
P10000123743;Busca orgânica
P10000123744;Email
P10000123745;Busca orgânica
P10000123746;Busca orgânica
P10000123747;Email
P10000123748;Google Ads
P10000123749;Busca orgânica
P10000123750;Busca orgânica
P10000123751;Busca orgânica
P10000123752;Email
P10000123753;Referência
P10000123754;Busca orgânica
P10000123755;Referência
P10000123756;Google Ads
P10000123757;Google Ads
P10000123758;Busca orgânica
P10000123759;Facebook Ads
P10000123760;Outros
P10000123761;Referência
P10000123762;Google Ads
P10000123763;Facebook Ads
P10000123764;Google Ads
P10000123765;Google Ads
P10000123766;Facebook Ads
P10000123767;Google Ads
P10000123768;
P10000123769;Referência
P10000123770;Email
P10000123771;Facebook Ads
P10000123772;Google Ads
P10000123773;Busca orgânica
P10000123774;Direto
P10000123775;Google Ads
P10000123776;Email
P10000123777;Email
P10000123778;Google Ads
P10000123779;Busca orgânica
P10000123780;Google Ads
P10000123781;Outros
P10000123782;Busca orgânica
P10000123783;Google Ads
P10000123784;Busca orgânica
P10000123785;Google Ads
P10000123786;Referência
P10000123787;Busca orgânica
P10000123788;Google Ads
P10000123789;Busca orgânica
P10000123790;Direto
P10000123791;Google Ads
P10000123792;Email
P10000123793;Google Ads
P10000123794;Email
P10000123795;Busca orgânica
P10000123796;Email
P10000123797;Busca orgânica
P10000123798;Busca orgânica
P10000123799;Google Ads
P10000123800;Google Ads
P10000123801;Google Ads
P10000123802;Google Ads
P10000123803;Busca orgânica
P10000123804;Referência
P10000123805;Direto
P10000123806;Busca orgânica
P10000123807;Busca orgânica
P10000123808;Busca orgânica
P10000123809;Busca orgânica
P10000123810;Google Ads
P10000123811;Google Ads
P10000123812;Google Ads
P10000123813;Google Ads
P10000123814;Email
P10000123815;Busca orgânica
P10000123816;Direto
P10000123817;
P10000123818;Google Ads
P10000123819;Direto
P10000123820;Google Ads
P10000123821;Google Ads
P10000123822;Busca orgânica
P10000123823;Busca orgânica
P10000123824;
P10000123825;Email
P10000123826;Email
P10000123827;Direto
P10000123828;Direto
P10000123829;Google Ads
P10000123830;Google Ads
P10000123831;Facebook Ads
P10000123832;Direto
P10000123833;Outros
P10000123834;Direto
P10000123835;Busca orgânica
P10000123836;Busca orgânica
P10000123837;Google Ads
P10000123838;Google Ads
P10000123839;Busca orgânica
P10000123840;Outros
P10000123841;Google Ads
P10000123842;Google Ads
P10000123843;Google Ads
P10000123844;Outros
P10000123845;Google Ads
P10000123846;Facebook Ads
P10000123847;Busca orgânica
P10000123848;Busca orgânica
P10000123849;Outros
P10000123850;Outros
P10000123851;Google Ads
P10000123852;Email
P10000123853;Referência
P10000123854;Outros
P10000123855;Busca orgânica
P10000123856;Busca orgânica
P10000123857;Busca orgânica
P10000123858;Busca orgânica
P10000123859;Busca orgânica
P10000123860;Email
P10000123861;Direto
P10000123862;Facebook Ads
P10000123863;Google Ads
P10000123864;Busca orgânica
P10000123865;Busca orgânica
P10000123866;Busca orgânica
P10000123867;Email
P10000123868;Google Ads
P10000123869;Outros
P10000123870;Busca orgânica
P10000123871;Email
P10000123872;Busca orgânica
P10000123873;Busca orgânica
P10000123874;
P10000123875;Email
P10000123876;Facebook Ads
P10000123877;Busca orgânica
P10000123878;Busca orgânica
P10000123879;Google Ads
P10000123880;Busca orgânica
P10000123881;Google Ads
P10000123882;Facebook Ads
P10000123883;Direto
P10000123884;Facebook Ads
P10000123885;Email
P10000123886;Direto
P10000123887;Google Ads
P10000123888;Email
P10000123889;Google Ads
P10000123890;
P10000123891;Referência
P10000123892;Email
P10000123893;Direto
P10000123894;Email
P10000123895;Email
P10000123896;Busca orgânica
P10000123897;Outros
P10000123898;Google Ads
P10000123899;Facebook Ads
P10000123900;Busca orgânica
P10000123901;Busca orgânica
P10000123902;Busca orgânica
P10000123903;Google Ads
P10000123904;Facebook Ads
P10000123905;Email
P10000123906;Busca orgânica
P10000123907;Google Ads
P10000123908;Email
P10000123909;Direto
P10000123910;
P10000123911;Facebook Ads
P10000123912;Direto
P10000123913;Direto
P10000123914;Direto
P10000123915;Outros
P10000123916;Facebook Ads
P10000123917;Google Ads
P10000123918;Busca orgânica
P10000123919;Busca orgânica
P10000123920;Busca orgânica
P10000123921;Facebook Ads
P10000123922;Google Ads
P10000123923;Referência
P10000123924;
P10000123925;
P10000123926;Outros
P10000123927;Email
P10000123928;Outros
P10000123929;Google Ads
P10000123930;Busca orgânica
P10000123931;Google Ads
P10000123932;Busca orgânica
P10000123933;Email
P10000123934;Email
P10000123935;Email
P10000123936;Direto
P10000123937;Google Ads
P10000123938;Direto
P10000123939;Referência
P10000123940;Direto
P10000123941;Email
P10000123942;Google Ads
P10000123943;Google Ads
P10000123944;Busca orgânica
P10000123945;Direto
P10000123946;
P10000123947;Google Ads
P10000123948;Google Ads
P10000123949;Google Ads
P10000123950;Busca orgânica
P10000123951;Google Ads
P10000123952;Google Ads
P10000123953;Email
P10000123954;Busca orgânica
P10000123955;Facebook Ads
P10000123956;Busca orgânica
P10000123957;Busca orgânica
P10000123958;Facebook Ads
P10000123959;Email
P10000123960;Google Ads
P10000123961;Busca orgânica
P10000123962;Facebook Ads
P10000123963;Busca orgânica
P10000123964;Google Ads
P10000123965;Google Ads
P10000123966;Direto
P10000123967;Email
P10000123968;Busca orgânica
P10000123969;Email
P10000123970;Facebook Ads
P10000123971;Direto
P10000123972;Google Ads
P10000123973;Google Ads
P10000123974;Referência
P10000123975;Email
P10000123976;Google Ads
P10000123977;Facebook Ads
P10000123978;Google Ads
P10000123979;Busca orgânica
P10000123980;Google Ads
P10000123981;Email
P10000123982;Google Ads
P10000123983;Busca orgânica
P10000123984;Referência
P10000123985;Direto
P10000123986;Google Ads
P10000123987;Facebook Ads
P10000123988;Google Ads
P10000123989;Google Ads
P10000123990;Busca orgânica
P10000123991;Busca orgânica
P10000123992;Google Ads
P10000123993;Outros
P10000123994;Google Ads
P10000123995;Busca orgânica
P10000123996;Busca orgânica
P10000123997;Busca orgânica
P10000123998;Google Ads
P10000123999;Busca orgânica
P10000124000;Email
P10000124001;Busca orgânica
P10000124002;Google Ads
P10000124003;Email
P10000124004;Busca orgânica
P10000124005;Google Ads
P10000124006;Facebook Ads
P10000124007;Google Ads
P10000124008;Outros
P10000124009;Referência
P10000124010;Busca orgânica
P10000124011;Direto
P10000124012;Facebook Ads
P10000124013;Google Ads
P10000124014;Google Ads
P10000124015;Busca orgânica
P10000124016;Google Ads
P10000124017;Busca orgânica
P10000124018;Google Ads
P10000124019;Google Ads
P10000124020;Google Ads
P10000124021;
P10000124022;Google Ads
P10000124023;Busca orgânica
P10000124024;Google Ads
P10000124025;Google Ads
P10000124026;Facebook Ads
P10000124027;Google Ads
P10000124028;Google Ads
P10000124029;Outros
P10000124030;Busca orgânica
P10000124031;Google Ads
P10000124032;Google Ads
P10000124033;
P10000124034;Google Ads
P10000124035;Google Ads
P10000124036;Busca orgânica
P10000124037;Google Ads
P10000124038;Google Ads
P10000124039;Google Ads
P10000124040;Google Ads
P10000124041;Busca orgânica
P10000124042;Google Ads
P10000124043;Busca orgânica
P10000124044;Email
P10000124045;Outros
P10000124046;Google Ads
P10000124047;Busca orgânica
P10000124048;Busca orgânica
P10000124049;Email
P10000124050;Google Ads
P10000124051;Referência
P10000124052;Busca orgânica
P10000124053;Busca orgânica
P10000124054;Outros
P10000124055;Busca orgânica
P10000124056;Google Ads
P10000124057;Google Ads
P10000124058;Google Ads
P10000124059;Busca orgânica
P10000124060;Google Ads
P10000124061;Direto
P10000124062;Busca orgânica
P10000124063;Busca orgânica
P10000124064;Busca orgânica
P10000124065;Google Ads
P10000124066;Busca orgânica
P10000124067;Referência
P10000124068;Busca orgânica
P10000124069;Google Ads
P10000124070;Email
P10000124071;Google Ads
P10000124072;Direto
P10000124073;Google Ads
P10000124074;Busca orgânica
P10000124075;Google Ads
P10000124076;Email
P10000124077;Google Ads
P10000124078;Direto
P10000124079;Email
P10000124080;Direto
P10000124081;Google Ads
P10000124082;Direto
P10000124083;Busca orgânica
P10000124084;Google Ads
P10000124085;Google Ads
P10000124086;Busca orgânica
P10000124087;Direto
P10000124088;Busca orgânica
P10000124089;Facebook Ads
P10000124090;Email
P10000124091;Google Ads
P10000124092;Email
P10000124093;Busca orgânica
P10000124094;Busca orgânica
P10000124095;Google Ads
P10000124096;Outros
P10000124097;Busca orgânica
P10000124098;Google Ads
P10000124099;Facebook Ads
P10000124100;Facebook Ads
P10000124101;Referência
P10000124102;Busca orgânica
P10000124103;Google Ads
P10000124104;Referência
P10000124105;Direto
P10000124106;Referência
P10000124107;Email
P10000124108;Busca orgânica
P10000124109;Referência
P10000124110;Email
P10000124111;Google Ads
P10000124112;Busca orgânica
P10000124113;Google Ads
P10000124114;Direto
P10000124115;Google Ads
P10000124116;Google Ads
P10000124117;Busca orgânica
P10000124118;Outros
P10000124119;Busca orgânica
P10000124120;Google Ads
P10000124121;Google Ads
P10000124122;Busca orgânica
P10000124123;Email
P10000124124;Direto
P10000124125;Google Ads
P10000124126;Busca orgânica
P10000124127;Email
P10000124128;
P10000124129;Busca orgânica
P10000124130;Google Ads
P10000124131;Email
P10000124132;Outros
P10000124133;Busca orgânica
P10000124134;Google Ads
P10000124135;Referência
P10000124136;Google Ads
P10000124137;Google Ads
P10000124138;Google Ads
P10000124139;Facebook Ads
P10000124140;Direto
P10000124141;Google Ads
P10000124142;Busca orgânica
P10000124143;Google Ads
P10000124144;Google Ads
P10000124145;Email
P10000124146;Google Ads
P10000124147;Outros
P10000124148;Google Ads
P10000124149;Google Ads
P10000124150;Busca orgânica
P10000124151;Google Ads
P10000124152;Email
P10000124153;Email
P10000124154;Facebook Ads
P10000124155;Outros
P10000124156;Email
P10000124157;Google Ads
P10000124158;Google Ads
P10000124159;Email
P10000124160;Busca orgânica
P10000124161;
P10000124162;Email
P10000124163;Google Ads
P10000124164;Direto
P10000124165;Google Ads
P10000124166;Outros
P10000124167;Google Ads
P10000124168;Google Ads
P10000124169;Google Ads
P10000124170;Email
P10000124171;Direto
P10000124172;Direto
P10000124173;Google Ads
P10000124174;Busca orgânica
P10000124175;Google Ads
P10000124176;Google Ads
P10000124177;Email
P10000124178;Busca orgânica
P10000124179;Google Ads
P10000124180;Busca orgânica
P10000124181;Busca orgânica
P10000124182;Email
P10000124183;Direto
P10000124184;Email
P10000124185;Busca orgânica
P10000124186;Direto
P10000124187;Outros
P10000124188;Busca orgânica
P10000124189;Facebook Ads
P10000124190;Direto
P10000124191;Referência
P10000124192;Direto
P10000124193;Busca orgânica
P10000124194;Google Ads
P10000124195;Google Ads
P10000124196;Outros
P10000124197;Email
P10000124198;Google Ads
P10000124199;Direto
P10000124200;Google Ads
P10000124201;Busca orgânica
P10000124202;Email
P10000124203;Google Ads
P10000124204;Google Ads
P10000124205;Google Ads
P10000124206;Google Ads
P10000124207;Direto
P10000124208;Busca orgânica
P10000124209;Google Ads
P10000124210;Google Ads
P10000124211;Google Ads
P10000124212;Direto
P10000124213;Google Ads
P10000124214;Busca orgânica
P10000124215;Google Ads
P10000124216;Google Ads
P10000124217;Busca orgânica
P10000124218;Busca orgânica
P10000124219;Google Ads
P10000124220;Email
P10000124221;Direto
P10000124222;Outros
P10000124223;Email
P10000124224;Direto
P10000124225;Google Ads
P10000124226;Direto
P10000124227;Busca orgânica
P10000124228;Email
P10000124229;Facebook Ads
P10000124230;Google Ads
P10000124231;Google Ads
P10000124232;Outros
P10000124233;Google Ads
P10000124234;Busca orgânica
P10000124235;Google Ads
P10000124236;Google Ads
P10000124237;Google Ads
P10000124238;Busca orgânica
P10000124239;Google Ads
P10000124240;Google Ads
P10000124241;Email
P10000124242;Facebook Ads
P10000124243;Google Ads
P10000124244;Email
P10000124245;Google Ads
P10000124246;Busca orgânica
P10000124247;Busca orgânica
P10000124248;Email
P10000124249;Google Ads
P10000124250;Direto
P10000124251;Busca orgânica
P10000124252;Busca orgânica
P10000124253;Referência
P10000124254;Email
P10000124255;Referência
P10000124256;Google Ads
P10000124257;Email
P10000124258;Google Ads
P10000124259;Outros
P10000124260;Outros
P10000124261;Busca orgânica
P10000124262;Google Ads
P10000124263;Busca orgânica
P10000124264;Google Ads
P10000124265;Busca orgânica
P10000124266;Busca orgânica
P10000124267;Busca orgânica
P10000124268;Busca orgânica
P10000124269;Busca orgânica
P10000124270;Direto
P10000124271;Direto
P10000124272;Google Ads
P10000124273;Google Ads
P10000124274;Email
P10000124275;Busca orgânica
P10000124276;Google Ads
P10000124277;Busca orgânica
P10000124278;Direto
P10000124279;Busca orgânica
P10000124280;Outros
P10000124281;Busca orgânica
P10000124282;Busca orgânica
P10000124283;Referência
P10000124284;Busca orgânica
P10000124285;Referência
P10000124286;Referência
P10000124287;Referência
P10000124288;Direto
P10000124289;Busca orgânica
P10000124290;Referência
P10000124291;Busca orgânica
P10000124292;Busca orgânica
P10000124293;Busca orgânica
P10000124294;Busca orgânica
P10000124295;Email
P10000124296;Google Ads
P10000124297;Busca orgânica
P10000124298;Busca orgânica
P10000124299;Direto
P10000124300;Busca orgânica
